UNIVERSITAS,KODE,PROGRAM STUDI,JENJANG,DAYA TAMPUNG 2024,PEMINAT 2023,JENIS PORTOFOLIO
UNIVERSITAS SAMUDRA,114014,KIMIA,Sarjana,12,15,Tidak Ada
UNIVERSITAS SAMUDRA,114015,BIOLOGI,Sarjana,12,24,Tidak Ada
UNIVERSITAS SAMUDRA,114016,HUKUM,Sarjana,96,193,Tidak Ada
UNIVERSITAS SAMUDRA,114017,EKONOMI MANAJEMEN,Sarjana,96,315,Tidak Ada
UNIVERSITAS SAMUDRA,114018,EKONOMI PEMBANGUNAN,Sarjana,32,83,Tidak Ada
UNIVERSITAS SAMUDRA,114019,PENDIDIKAN SEJARAH,Sarjana,32,67,Tidak Ada
UNIVERSITAS SAMUDRA,114020,PENDIDIKAN GEOGRAFI,Sarjana,48,49,Tidak Ada
UNIVERSITAS SAMUDRA,114021,PENDIDIKAN JASMANI,Sarjana,48,60,Pendidikan Jasmani dan Olahraga
UNIVERSITAS SAMUDRA,114022,PENDIDIKAN GURU SEKOLAH DASAR,Sarjana,124,433,Tidak Ada
UNIVERSITAS SAMUDRA,114023,PENDIDIKAN BAHASA INGGRIS,Sarjana,32,63,Tidak Ada
UNIVERSITAS SAMUDRA,114024,PENDIDIKAN BAHASA INDONESIA,Sarjana,48,117,Tidak Ada
UNIVERSITAS SAMUDRA,114025,AKUNTANSI,Sarjana,48,120,Tidak Ada
UNIVERSITAS SAMUDRA,114026,GEOFISIKA,Sarjana,24,(Prodi Baru),Tidak Ada
UNIVERSITAS,KODE,PROGRAM STUDI,JENJANG,DAYA TAMPUNG 2024,PEMINAT 2023,JENIS PORTOFOLIO
ISBI ACEH,115001,SENI KARAWITAN,Sarjana,24,3,Seni Karawitan
ISBI ACEH,115002,SENI TARI,Sarjana,24,11,Tari
ISBI ACEH,115003,SENI TEATER,Sarjana,16,0,Teater
ISBI ACEH,115004,SENI RUPA MURNI,Sarjana,24,13,"Seni Rupa, Desain, dan Kriya"
ISBI ACEH,115005,KRIYA SENI,Sarjana,24,13,"Seni Rupa, Desain, dan Kriya"
ISBI ACEH,115006,DESAIN KOMUNIKASI VISUAL,Sarjana,32,25,"Seni Rupa, Desain, dan Kriya"
ISBI ACEH,115007,KAJIAN SASTRA BUDAYA,Sarjana,16,(Prodi Baru),Tidak Ada
ISBI ACEH,115008,BAHASA ACEH,Sarjana,16,(Prodi Baru),Tidak Ada
ISBI ACEH,115009,DESAIN INTERIOR,Sarjana,32,(Prodi Baru),Tidak Ada
UNIVERSITAS,KODE,PROGRAM STUDI,JENJANG,DAYA TAMPUNG 2024,PEMINAT 2023,JENIS PORTOFOLIO
UNIVERSITAS SUMATERA UTARA,121001,PENDIDIKAN DOKTER,Sarjana,80,2.215,Tidak Ada
UNIVERSITAS SUMATERA UTARA,121002,TEKNIK SIPIL,Sarjana,48,886,Tidak Ada
UNIVERSITAS SUMATERA UTARA,121003,TEKNIK MESIN,Sarjana,39,682,Tidak Ada
UNIVERSITAS SUMATERA UTARA,121004,TEKNIK ELEKTRO,Sarjana,39,555,Tidak Ada
UNIVERSITAS SUMATERA UTARA,121005,TEKNIK INDUSTRI,Sarjana,52,1.220,Tidak Ada
UNIVERSITAS SUMATERA UTARA,121006,TEKNIK KIMIA,Sarjana,39,421,Tidak Ada
UNIVERSITAS SUMATERA UTARA,121007,PENDIDIKAN DOKTER GIGI,Sarjana,48,1.099,Tidak Ada
UNIVERSITAS SUMATERA UTARA,121008,MATEMATIKA,Sarjana,32,301,Tidak Ada
UNIVERSITAS SUMATERA UTARA,121009,KIMIA,Sarjana,32,182,Tidak Ada
UNIVERSITAS SUMATERA UTARA,121010,FARMASI,Sarjana,64,1.897,Tidak Ada
UNIVERSITAS SUMATERA UTARA,121011,FISIKA,Sarjana,32,125,Tidak Ada
UNIVERSITAS SUMATERA UTARA,121012,ILMU KESEHATAN MASYARAKAT,Sarjana,128,1.702,Tidak Ada
UNIVERSITAS SUMATERA UTARA,121013,AGROEKOTEKNOLOGI,Sarjana,96,1.003,Tidak Ada
UNIVERSITAS SUMATERA UTARA,121014,KETEKNIKAN PERTANIAN,Sarjana,32,554,Tidak Ada
UNIVERSITAS SUMATERA UTARA,121015,BIOLOGI,Sarjana,32,249,Tidak Ada
UNIVERSITAS SUMATERA UTARA,121016,AGRIBISNIS,Sarjana,64,1.070,Tidak Ada
UNIVERSITAS SUMATERA UTARA,121017,ILMU DAN TEKNOLOGI PANGAN,Sarjana,32,479,Tidak Ada
UNIVERSITAS SUMATERA UTARA,121018,PETERNAKAN,Sarjana,45,414,Tidak Ada
UNIVERSITAS SUMATERA UTARA,121019,ARSITEKTUR,Sarjana,32,530,Tidak Ada
UNIVERSITAS SUMATERA UTARA,121020,ILMU KEPERAWATAN,Sarjana,77,1.023,Tidak Ada
UNIVERSITAS SUMATERA UTARA,121021,KEHUTANAN,Sarjana,64,997,Tidak Ada
UNIVERSITAS SUMATERA UTARA,121022,ILMU KOMPUTER,Sarjana,48,1.727,Tidak Ada
UNIVERSITAS SUMATERA UTARA,121023,TEKNOLOGI INFORMASI,Sarjana,48,1.464,Tidak Ada
UNIVERSITAS SUMATERA UTARA,121024,MANAJEMEN SUMBER DAYA PERAIRAN,Sarjana,32,308,Tidak Ada
UNIVERSITAS SUMATERA UTARA,121025,TEKNIK LINGKUNGAN,Sarjana,23,402,Tidak Ada
UNIVERSITAS SUMATERA UTARA,121026,GIZI,Sarjana,13,732,Tidak Ada
UNIVERSITAS SUMATERA UTARA,121027,ILMU HUKUM,Sarjana,192,2.984,Tidak Ada
UNIVERSITAS SUMATERA UTARA,121028,ILMU SEJARAH,Sarjana,39,215,Tidak Ada
UNIVERSITAS SUMATERA UTARA,121029,ANTROPOLOGI SOSIAL,Sarjana,39,327,Tidak Ada
UNIVERSITAS SUMATERA UTARA,121030,AKUNTANSI,Sarjana,80,1.673,Tidak Ada
